store_id	item_id	name	category	price	orderable	req_mods
1062843	i_19946874575	Original Topperstix	Topperstix	11.99	1	1
1062843	i_19946945320	Build Your Own Za	Build Your Own Za	0.00	1	1
1062843	i_7943490750	Ragin Pepperoni Pizza	Pizza	0.00	1	1
1062843	i_20182988465	Ranch Cup	Dipping Sauce	1.19	1	0
1062843	i_19946945319	Cinnamonstix Topperstix	Topperstix	11.99	1	1
1062843	i_19946870834	3-Cheese Garlicstix Topperstix	Topperstix	13.29	1	1
1062843	i_7613870629	Mac N Cheese Pizza	Pizza	0.00	1	1
1062843	i_5083498568	Old-School Pepperoni & Sausage Pizza	Pizza	0.00	1	1
1062843	i_5083498563	Buffalo Chicken Topper Pizza	Pizza	0.00	1	1
1062843	i_5083498570	Toppers Classic Pizza	Pizza	0.00	1	1
1062843	i_9772130073	VEGAN Toppers Classic Pizza	Pizza	0.00	1	1
1062843	i_22703523468	VEGAN Tomato Pie Pizza	Pizza	0.00	1	1
1062843	i_44361888325	Cheese Pizza	Pizza	0.00	1	1
1062843	i_7613883023	Buffalo Chicken Mac N Cheese Pizza	Pizza	0.00	1	1
1062843	i_9787861592	Meat Topper Pizza	Pizza	0.00	1	1
1062843	i_22703571761	VEGAN White Potato Pizza	Pizza	0.00	1	1
1062843	i_44361888323	Pepperoni Pizza	Pizza	0.00	1	1
1062843	i_22703496678	VEGAN Spicy Italian Pizza	Pizza	0.00	1	1
1062843	i_44361888324	Sausage Pizza	Pizza	0.00	1	1
1062843	i_5083498564	Loaded Tot-zza Pizza	Pizza	0.00	1	1
1062843	i_20188958140	CAULIPOWER King Pizza	Pizza	0.00	1	1
1062843	i_5083498569	Smoky BBQ Chicken Pizza	Pizza	0.00	1	1
1062843	i_5083498575	Wisconsin Cheesemaker Topper Pizza	Pizza	0.00	1	1
1062843	i_9787861591	MAUI TOPPER Pizza	Pizza	0.00	1	1
1062843	i_5083498572	Veggie Classic Pizza	Pizza	0.00	1	1
1062843	i_11665177122	The Stinger Pizza	Pizza	0.00	1	1
1062843	i_17035446574	The Pickle Pizza	Pizza	0.00	1	1
1062843	i_17035443036	Picklestix Topperstix	Topperstix	13.29	1	1
1062843	i_19946944766	Baconstix Topperstix	Topperstix	13.29	1	1
