store_id	fulfillment	subtotal	discount	service_fee	delivery_fee	tax	pretip_total
36042509	delivery	14.78	-7.39	0.99	0.00	0.46	8.84
36042509	delivery	14.78	-7.39	0.99	0.00	0.46	8.84
1150945	delivery	20.00	-5.00	1.00	0.00	0.88	16.88
23460971	delivery	14.45	0.00	0.99	0.00	0.85	16.29
29865524	delivery	7.50	0.00	2.99	0.49	0.60	11.58
36042509	delivery	14.78	-7.39	0.99	0.00	0.46	8.84
1150945	delivery	20.00	-5.00	1.00	0.00	0.88	16.88
29865524	delivery	9.00	0.00	2.99	0.49	0.69	13.17
289182	delivery	7.19	0.00	2.99	1.99	0.67	12.84
1150945	delivery	20.00	-3.00	1.00	0.00	0.99	18.99
289182	delivery	13.68	0.00	0.99	0.00	0.81	15.48
36042509	delivery	14.78	-7.39	0.99	0.00	0.46	8.84
36042509	delivery	14.78	-7.39	0.99	0.00	0.46	8.84
35842845	delivery	14.95	0.00	0.99	0.00	0.88	16.82
289146	delivery	11.00	0.00	2.99	0.49	0.80	15.28
33138267	delivery	7.15	0.00	2.99	0.49	0.58	11.21
24474150	delivery	7.99	0.00	2.99	0.49	0.63	12.10
1150945	delivery	20.00	-3.00	1.00	0.00	0.99	18.99
379439	delivery	17.10	0.00	0.99	0.00	0.99	19.08
379459	delivery	17.10	0.00	0.99	0.00	0.99	19.08
36042509	delivery	14.78	-7.39	0.99	0.00	0.46	8.84
1150945	delivery	20.00	-3.00	1.00	0.00	0.99	18.99
379439	delivery	17.10	0.00	0.99	0.00	0.99	19.08
379459	delivery	17.10	0.00	0.99	0.00	0.99	19.08
40009833	delivery	7.99	0.00	2.99	0.49	0.63	12.10
22969246	delivery	8.00	0.00	2.99	0.49	0.63	12.11
35596781	delivery	8.28	0.00	2.99	0.49	0.65	12.41
24474150	delivery	12.99	0.00	0.99	0.00	0.77	14.75
288862	delivery	7.95	0.00	2.99	1.49	0.68	13.11
36042509	delivery	14.78	-7.39	0.99	0.00	0.46	8.84
36042509	pickup	11.98	0.00	0.00	0.00	0.66	12.64
1150945	delivery	20.00	-3.00	1.00	0.00	0.99	18.99
1150945	pickup	20.00	-3.00	0.00	0.00	0.94	17.94
22969246	delivery	8.00	0.00	2.99	0.49	0.63	12.11
22969246	pickup	8.00	0.00	0.00	0.00	0.44	8.44
28087966	delivery	8.79	0.00	2.99	3.99	0.87	16.64
28087966	pickup	8.79	0.00	0.00	0.00	0.48	9.27
606420	delivery	9.50	0.00	2.99	0.49	0.71	13.69
606420	pickup	9.50	0.00	0.00	0.00	0.52	10.02
379439	delivery	17.10	0.00	0.99	0.00	0.99	19.08
379459	delivery	17.10	0.00	0.99	0.00	0.99	19.08
28087966	delivery	8.79	0.00	2.99	3.99	0.87	16.64
28087966	pickup	8.79	0.00	0.00	0.00	0.48	9.27
31014406	delivery	10.55	0.00	2.99	0.49	0.77	14.80
31014406	pickup	10.55	0.00	0.00	0.00	0.58	11.13
36042509	delivery	14.78	-7.39	0.99	0.00	0.46	8.84
36042509	pickup	11.98	0.00	0.00	0.00	0.66	12.64
379439	delivery	17.10	0.00	0.99	0.00	0.99	19.08
379459	delivery	17.10	0.00	0.99	0.00	0.99	19.08
800730	delivery	16.98	0.00	0.99	0.00	0.99	18.96
800730	pickup	14.98	0.00	0.00	0.00	0.82	15.80
36042509	delivery	14.78	0.00	0.99	0.00	0.87	16.64
36042509	pickup	11.98	0.00	0.00	0.00	0.66	12.64
28087966	delivery	8.79	0.00	2.99	3.99	0.87	16.64
28087966	pickup	8.79	0.00	0.00	0.00	0.48	9.27
350727	delivery	11.00	0.00	2.99	1.49	0.85	16.33
350727	pickup	8.45	0.00	0.00	0.00	0.46	8.91
800730	delivery	16.98	0.00	0.99	0.00	0.99	18.96
800730	pickup	14.98	0.00	0.00	0.00	0.82	15.80
22969246	delivery	8.00	0.00	2.99	0.49	0.63	12.11
22969246	pickup	8.00	0.00	0.00	0.00	0.44	8.44
28087966	delivery	8.79	0.00	2.99	3.99	0.87	16.64
28087966	pickup	8.79	0.00	0.00	0.00	0.48	9.27
36042509	delivery	14.78	0.00	0.99	0.00	0.87	16.64
36042509	pickup	11.98	0.00	0.00	0.00	0.66	12.64
31014406	delivery	10.55	0.00	2.99	0.49	0.77	14.80
31014406	pickup	10.55	0.00	0.00	0.00	0.58	11.13
289146	delivery	11.00	0.00	2.99	0.49	0.80	15.28
289146	pickup	11.00	0.00	0.00	0.00	0.61	11.61
379439	delivery	17.10	0.00	0.99	0.00	0.99	19.08
379459	delivery	17.10	0.00	0.99	0.00	0.99	19.08
350727	delivery	11.00	0.00	2.99	1.49	0.85	16.33
350727	pickup	8.45	0.00	0.00	0.00	0.46	8.91
